,State_Name,State_ab,Lat,Lon,Mean,Median,Stdev,easting,northing,zone_number,zone_letter
18981,New York,NY,40.5923335,-73.93443909999999,58102,38731,49223,590165.9856112478,4494049.3971986445,18,T
18982,New York,NY,40.6109971,-73.9402463,102422,100578,73382,589649.6402850093,4496115.214395556,18,T
18983,New York,NY,40.619978499999995,-73.93364659999999,56426,37436,49875,590195.8700096431,4497118.938541231,18,T
18984,New York,NY,40.6090466,-73.92808000000001,115027,300000,72353,590681.5012660266,4495911.163168487,18,T
18985,New York,NY,40.624995,-73.92720109999999,95720,300000,57236,590734.2733478966,4497682.422834608,18,T
18986,New York,NY,40.6172158,-73.9191004,79305,81829,50469,591430.0273799837,4496827.276302728,18,T
18987,New York,NY,40.611250299999995,-73.9170851,120152,300000,67361,591608.646995906,4496167.171154888,18,T
18988,New York,NY,40.5932709,-73.8903599,141250,300000,11479,593894.6535639478,4494199.528466885,18,T
18990,New York,NY,40.6341061,-73.9270557,91837,84828,59123,590734.2368624895,4498693.953498888,18,T
18991,New York,NY,40.6240357,-73.93579890000001,64949,57834,56929,590008.370917871,4497567.104713432,18,T
18992,New York,NY,40.6223292,-73.9431173,131361,123330,82176,589391.6571644299,4497370.213739955,18,T
18993,New York,NY,40.6214738,-73.9507115,97933,300000,66526,588750.4571674106,4497267.572640183,18,T
18994,New York,NY,40.6257185,-73.9564859,69672,47416,69541,588256.4530993915,4497732.947723486,18,T
18995,New York,NY,40.631609399999995,-73.953177,85433,65483,69696,588528.5315638739,4498390.192475483,18,T
18996,New York,NY,40.6378537,-73.9414429,55551,44269,43742,589512.5464674603,4499095.217390512,18,T
18997,New York,NY,40.6409778,-73.95369670000001,36339,32427,26014,588472.2111582563,4499429.611817446,18,T
18998,New York,NY,40.6527602,-73.9576551,46610,38305,35359,588121.994256714,4500733.548882448,18,T
18999,New York,NY,40.6576399,-73.9534407,63809,44261,57349,588471.8475853197,4501279.45505725,18,T
19000,New York,NY,42.3971063,-74.0148155,66160,49502,48029,581081.7602976804,4694338.060732739,18,T
19001,New York,NY,40.6591131,-73.9445488,64254,54670,48534,589221.5824589402,4501451.973685076,18,T
